BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
South Chicago,9055 S. Houston Ave.,Chicago,60617,732,828,814,718,,,,,,,,,3092,POINT (-87.54953597999997 41.73037901600003)
Clearing,6423 W. 63rd Pl.,Chicago,60638,1999,1900,2101,2192,,,,,,,,,8192,POINT (-87.78226496999997 41.77645798400005)
Merlo,644 W. Belmont Ave.,Chicago,60657,9580,8280,9868,8925,,,,,,,,,36653,POINT (-87.64621896999995 41.94032000000004)
Uptown,929 W. Buena Ave.,Chicago,60613,5335,5244,6125,5591,,,,,,,,,22295,POINT (-87.65421103099999 41.958200988000044)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1440,926,1422,1169,,,,,,,,,4957,POINT (-87.70353903399996 41.78196699000006)
Harold Washington Library Center,400 S. State Street,Chicago,60605,24096,21200,24716,22060,,,,,,,,,92072,POINT (-87.62839401499997 41.876313985000024)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1340,1591,1735,1685,,,,,,,,,6351,POINT (-87.70319504099996 41.815067000000056)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,657,500,572,468,,,,,,,,,2197,POINT (-87.74799497199996 41.895320998000045)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1427,1351,1769,1120,,,,,,,,,5667,POINT (-87.70482599199994 41.84964000300005)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,10818,9944,11975,9834,,,,,,,,,42571,POINT (-87.67089302999995 41.94032398100006)
Gage Park,2807 W. 55th St.,Chicago,60632,753,692,858,690,,,,,,,,,2993,POINT (-87.69417703499994 41.793441019000056)
Northtown,6800 N. Western Ave.,Chicago,60645,7701,7093,8196,7051,,,,,,,,,30041,POINT (-87.69042596599996 42.00547500600004)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,3775,3254,3792,3679,,,,,,,,,14500,POINT (-87.81379976199997 41.943288933000076)
Bezazian,1226 W. Ainslie St.,Chicago,60640,6248,5796,6706,6116,,,,,,,,,24866,POINT (-87.66075201699994 41.97158198400007)
West Loop,122 N. Aberdeen St.,Chicago,60607,4975,4284,4976,4502,,,,,,,,,18737,POINT (-87.65475702799995 41.883784985000034)
Pullman,11001 S. Indiana Ave.,Chicago,60628,411,332,431,349,,,,,,,,,1523,POINT (-87.61795896499996 41.69437199400005)
Patron Initiated renewals (automated phone),,,,474,338,495,559,,,,,,,,,1866,
Jeffery Manor,2401 E. 100th St.,Chicago,60617,384,271,593,449,,,,,,,,,1697,POINT (-87.56553200399998 41.71323701800003)
Hall,4801 S. Michigan Ave.,Chicago,60615,626,562,907,850,,,,,,,,,2945,POINT (-87.62227597999998 41.807196015000045)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3760,395,1899,3376,,,,,,,,,9430,POINT (-87.70122101899995 41.693149997000035)
Coleman,731 E. 63rd St.,Chicago,60637,944,861,1094,1028,,,,,,,,,3927,POINT (-87.60683500599998 41.78013499900004)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,5561,5035,5591,4960,,,,,,,,,21147,POINT (-87.77955501699995 41.953195986000026)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2027,2217,2270,1966,,,,,,,,,8480,POINT (-87.64280401499997 41.72086698100003)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,569,768,681,650,,,,,,,,,2668,POINT (-87.65437699299997 41.75737498900003)
Chicago Bee,3647 S. State St.,Chicago,60609,839,806,1021,753,,,,,,,,,3419,POINT (-87.62622997499994 41.82817399100003)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1488,1852,1985,1879,,,,,,,,,7204,POINT (-87.53353098799994 41.702956991000065)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,290,282,310,330,,,,,,,,,1212,POINT (-87.65514603199995 41.79484800500006)
Patron Initiated renewals (online),,,,27476,25759,27661,26193,,,,,,,,,107089,
