tract,county,geo_id,census_name,total_no_income,total_with_income,total_with_income_level1,total_with_income_level2,total_with_income_level3,total_with_income_level4,total_with_income_level5,total_with_income_level6,total_with_income_level7,total_with_income_level8,median_income,state_x,total_population,total_male,total_female,under_5_years,median_age,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,perc_hh_w_children,avg_household_size,avg_family_size,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,unemployment_rate,work_from_home,median_hh_income_d,average_hh_income_d,hh_social_security,hh_foodstamps_snap,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,occupied_units,occupied_units_owner,occupied_units_no_vehicle,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,occupied_median_rent_d,state_y
005602,113,1400000US17113005602,"Census Tract 56.02, McLean County, Illinois",67,18,32,41,54,32,25,20,15,63,73209,17,2265,1062,1203,78,43.0,1715,383,2113,39,7,0,0,24,82,86,956,851,30.7,2.66,3.11,2265,690,542,275,2243,22,2145,5,851,793,719,4.9,55,73209,74442,272,113,27566,15.7,18.6,851,748,8,1170,540,109,23,879,17
005700,113,1400000US17113005700,"Census Tract 57, McLean County, Illinois",98,28,33,50,72,40,124,77,88,134,72037,17,5029,2536,2493,323,38.5,3741,775,4890,53,0,17,0,14,55,106,2148,1896,34.3,2.65,3.16,5029,1696,1296,1016,4970,59,4609,26,1896,1827,1675,2.3,282,72037,98718,513,107,37141,7.2,10.4,1896,1492,50,1318,538,93,50,763,17
005800,113,1400000US17113005800,"Census Tract 58, McLean County, Illinois",159,78,81,50,78,179,93,124,116,134,57465,17,4010,1787,2223,112,44.2,3481,1079,3460,235,9,263,0,11,32,89,2489,2136,16.9,1.85,2.52,3961,633,732,1407,3724,286,3610,44,2136,1863,1717,2.2,179,57465,67256,652,82,36145,13.2,9.1,2136,1202,176,1167,503,42,64,962,17
005900,113,1400000US17113005900,"Census Tract 59, McLean County, Illinois",445,193,183,115,57,81,21,56,46,111,33596,17,4045,2343,1702,253,40.7,3346,776,2932,394,0,317,0,143,259,321,2225,2084,15.5,1.91,3.09,3985,930,908,753,3672,373,3244,316,2084,1737,1465,3.9,116,33596,46628,738,529,24680,15.3,30.5,2084,1114,411,1086,411,103,0,546,17
006000,113,1400000US17113006000,"Census Tract 60, McLean County, Illinois",53,8,57,32,21,38,26,66,56,119,81083,17,3726,1944,1782,262,37.2,2825,551,3594,12,0,8,0,10,102,117,1505,1349,30.9,2.76,3.03,3726,1105,896,691,3710,16,3439,3,1349,1311,1250,4.4,218,81083,95589,354,83,35307,8.1,7.7,1349,1075,16,1450,559,117,17,1066,17
000200,115,1400000US17115000200,"Census Tract 2, Macon County, Illinois",132,60,43,84,73,63,26,27,32,28,30037,17,2538,1090,1448,214,22.9,1465,280,1457,818,0,0,0,0,263,0,1137,785,38.9,3.23,4.12,2538,1171,1040,18,2523,15,2309,0,785,666,574,19.4,7,30037,54554,263,420,17650,20.2,27.9,785,324,103,745,317,71,27,863,17
000300,115,1400000US17115000300,"Census Tract 3, Macon County, Illinois",158,143,77,61,73,137,85,108,43,24,35403,17,3348,1639,1709,400,30.9,2340,508,983,1877,30,90,0,0,368,64,1695,1317,27.9,2.50,3.74,3293,1291,749,82,3289,59,2813,97,1317,998,814,14.0,8,35403,46374,596,413,20174,25.4,33.0,1317,618,265,575,334,97,35,689,17
000400,115,1400000US17115000400,"Census Tract 4, Macon County, Illinois",32,6,28,21,46,12,42,39,17,14,42610,17,958,301,657,143,35.2,648,200,373,553,5,0,0,0,27,11,550,387,27.4,2.48,3.82,958,300,324,119,940,18,787,6,387,335,322,23.9,23,42610,73064,182,114,29514,9.4,15.0,387,307,45,1375,374,100,17,738,17
000501,115,1400000US17115000501,"Census Tract 5.01, Macon County, Illinois",119,66,73,10,0,21,7,16,14,29,15887,17,623,280,343,87,43.7,504,111,252,346,7,0,0,0,18,0,594,414,11.8,1.49,3.11,618,162,51,49,616,7,536,0,414,303,256,27.9,29,15887,32347,132,211,22119,55.4,46.9,414,88,186,1554,413,0,18,524,17
000502,115,1400000US17115000502,"Census Tract 5.02, Macon County, Illinois",188,93,39,38,44,0,93,128,35,61,40025,17,2186,1051,1135,143,36.0,1801,279,1519,509,13,29,0,41,75,113,1511,992,20.6,2.16,3.39,2144,452,484,232,2125,61,1975,7,992,917,710,9.4,52,40025,43671,224,367,19228,26.2,34.5,992,303,248,1234,543,55,12,580,17
000600,115,1400000US17115000600,"Census Tract 6, Macon County, Illinois",194,180,47,56,35,0,19,32,18,18,14201,17,1731,756,975,85,30.2,1104,164,539,1128,0,0,0,0,64,30,846,663,38.8,2.59,3.80,1715,730,574,54,1721,10,1637,6,663,522,394,29.5,85,14201,24245,150,451,9504,60.2,60.4,663,257,201,621,334,0,38,673,17
000900,115,1400000US17115000900,"Census Tract 9, Macon County, Illinois",141,53,73,55,58,20,24,52,43,31,24833,17,1466,661,805,160,34.6,1095,184,425,931,0,19,0,0,91,6,813,642,20.7,2.28,3.56,1466,462,273,52,1466,0,1306,0,642,551,396,29.1,7,24833,32005,184,277,14883,42.3,44.3,642,258,96,600,249,5,19,728,17
